time,left pressure 0[N/cm虏],left pressure 1[N/cm虏],left pressure 2[N/cm虏],left pressure 3[N/cm虏],left pressure 4[N/cm虏],left pressure 5[N/cm虏],left pressure 6[N/cm虏],left pressure 7[N/cm虏],left pressure 8[N/cm虏],left pressure 9[N/cm虏],left pressure 10[N/cm虏],left pressure 11[N/cm虏],left pressure 12[N/cm虏],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left total force[N],left center of pressure X[mm],left center of pressure Y[mm],right pressure 0[N/cm虏],right pressure 1[N/cm虏],right pressure 2[N/cm虏],right pressure 3[N/cm虏],right pressure 4[N/cm虏],right pressure 5[N/cm虏],right pressure 6[N/cm虏],right pressure 7[N/cm虏],right pressure 8[N/cm虏],right pressure 9[N/cm虏],right pressure 10[N/cm虏],right pressure 11[N/cm虏],right pressure 12[N/cm虏],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right total force[N],right center of pressure X[mm],right center of pressure Y[mm]
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.08,1.33,0.0,0.0,0.0,3.0,1.0,2.75,1.75,4.25,6.0,3.0,2.25,0.0,1.75,0.75,0.75,1.5,0.08,0.14,0.95,293.19,-2.8,22.7
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.27,1.39,0.0,0.0,0.0,3.0,0.75,2.75,3.25,5.75,6.5,3.25,2.25,0.0,1.25,0.75,0.75,1.0,0.08,0.14,0.95,321.78,-3.5,29.7
0.06,0.25,0.5,3.5,0.0,2.5,0.0,2.5,0.25,0.0,0.0,0.0,0.0,0.5,0.02,0.45,1.58,0.0,18.5,45.0,3.75,1.5,3.0,5.0,5.75,6.75,3.75,2.25,0.0,0.75,0.0,0.5,0.75,0.08,0.14,0.95,373.39,-5.7,40.8
0.08,0.25,0.5,2.75,0.0,3.0,0.0,1.25,0.0,0.0,0.5,0.0,0.0,0.5,0.08,0.52,1.89,67.02,13.3,40.8,5.0,2.5,4.25,5.25,7.0,7.25,4.25,2.25,0.0,0.75,0.0,0.5,0.75,0.08,0.14,0.95,457.02,-7.4,45.2
0.1,0.25,0.5,2.75,0.0,3.0,0.0,1.25,0.0,0.0,0.25,0.0,0.0,0.5,-0.05,0.7,2.08,126.71,14.2,44.3,5.5,2.5,5.5,7.0,7.5,7.75,4.75,2.0,0.0,0.5,0.0,0.25,0.75,0.08,0.14,0.95,555.95,-9.0,48.8
0.12,0.25,0.5,2.75,0.0,3.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.5,-0.11,0.95,2.14,146.7,15.1,48.0,8.0,3.0,6.0,7.0,8.75,8.0,5.75,1.0,0.0,1.5,0.0,0.75,0.75,0.02,0.2,1.08,682.81,-10.3,49.3
0.14,0.5,0.25,3.0,0.0,0.5,0.0,1.25,0.0,0.0,0.25,0.0,0.25,0.5,0.14,1.08,2.2,145.82,24.4,34.0,8.25,5.75,7.25,9.0,9.25,7.75,6.0,1.0,0.0,0.75,0.0,0.75,0.75,0.02,0.2,1.08,831.23,-11.8,54.5
0.16,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.75,0.0,0.75,0.0,0.39,1.45,2.52,114.23,4.9,-29.2,9.75,6.25,7.75,9.25,9.25,7.75,5.75,0.5,0.0,0.0,0.75,0.25,1.5,0.02,0.27,1.08,972.22,-12.9,56.1
0.18,0.75,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.45,2.02,2.33,87.84,12.5,39.7,10.5,6.75,8.25,8.75,9.75,6.0,6.0,0.0,0.0,0.0,0.0,0.25,1.25,0.02,0.33,1.14,1061.8,-14.7,61.0
0.2,0.0,0.0,3.0,0.0,2.5,0.0,2.5,0.25,0.0,0.0,1.0,0.75,1.0,0.08,2.52,1.83,105.27,14.3,9.6,10.0,6.25,8.25,7.25,8.25,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02,0.33,1.2,1065.01,-15.6,64.1
0.22,1.0,0.0,3.25,0.0,2.25,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,2.95,1.27,123.92,24.3,55.3,11.0,6.25,8.25,6.25,7.75,5.25,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.08,0.45,1.2,1022.58,-16.7,65.4
0.24,0.0,0.0,0.0,0.75,0.0,0.0,4.75,0.25,0.75,0.0,0.0,0.0,0.0,0.7,3.45,0.89,118.52,22.7,17.1,10.5,6.25,7.75,5.25,7.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.08,0.64,1.33,934.8,-17.2,66.0
0.26,0.25,0.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,1.02,3.83,0.7,106.18,8.5,-1.6,11.0,5.75,7.25,3.0,6.25,2.75,6.25,0.0,0.0,0.25,0.25,0.75,0.5,0.2,0.89,1.83,830.56,-18.9,63.1
0.28,0.0,0.0,0.25,0.0,0.0,0.0,1.25,0.0,1.25,1.0,0.0,0.25,0.0,0.45,3.39,0.64,77.5,9.2,-35.4,10.5,5.0,7.25,2.5,5.75,2.75,5.75,0.0,0.0,0.75,0.75,0.75,1.0,0.45,0.95,1.83,737.46,-18.2,56.8
0.3,0.0,0.0,0.0,0.0,0.0,0.75,0.25,2.5,0.5,1.25,0.0,2.75,0.0,-0.67,-0.98,1.14,78.14,-5.5,-61.9,10.5,4.75,6.5,1.75,5.0,1.75,4.25,0.0,0.0,0.75,0.25,0.75,1.0,0.52,1.02,2.33,635.92,-19.3,59.5
0.32,0.25,0.5,2.25,0.0,3.0,0.0,4.25,0.0,0.0,2.25,0.0,5.5,6.0,-0.61,-0.42,0.14,162.47,3.8,-44.1,8.75,3.25,6.0,1.0,1.25,0.25,2.5,0.0,0.0,0.0,0.75,0.0,1.0,0.95,1.39,2.45,481.97,-25.8,64.9
0.34,0.25,0.5,1.75,0.0,3.0,0.0,0.5,0.0,0.0,2.5,0.25,7.25,8.25,0.33,0.95,2.02,252.31,-0.3,-62.9,5.0,0.5,3.5,0.5,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.75,0.95,-0.36,2.7,306.14,-30.4,64.5
0.36,0.75,0.25,2.0,0.0,0.0,0.25,5.0,3.0,1.0,4.25,1.75,8.5,10.0,0.58,0.14,2.02,369.99,0.7,-69.0,1.25,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,-0.11,-0.61,3.52,151.99,-31.3,57.6
0.38,0.25,0.5,2.25,0.0,0.5,0.0,5.0,2.0,0.0,6.25,3.0,8.75,11.0,-0.42,0.14,1.7,497.92,0.0,-71.4,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,1.39,-1.98,2.39,0.0,-17.0,16.4
0.4,0.25,0.5,1.75,0.0,3.0,0.25,0.5,0.25,0.0,7.5,3.0,9.0,11.0,-0.23,0.14,1.27,601.17,-2.4,-70.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,1.39,-0.86,2.45,0.0,-25.2,50.6
0.42,0.25,0.5,2.0,0.0,3.0,0.25,0.75,1.0,0.75,8.75,5.25,9.25,11.0,-0.3,0.39,1.83,686.85,-1.7,-68.9,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.83,-0.48,1.08,0.0,-36.4,50.3
0.44,0.25,0.5,2.0,0.0,3.0,0.25,1.25,2.25,1.0,8.75,6.5,9.0,11.0,0.02,0.27,1.27,761.66,-1.6,-67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.45,-0.11,0.77,0.0,-32.4,27.3
0.46,0.75,0.5,2.75,0.75,0.0,1.0,1.75,3.5,1.25,8.75,6.75,8.25,10.0,-0.11,0.08,0.95,817.07,-0.4,-65.9,0.25,0.0,1.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.75,0.08,0.08,0.89,0.0,-18.6,-11.1
0.48,1.0,0.5,3.25,1.0,2.5,1.5,2.5,3.5,1.5,7.75,6.5,7.0,9.25,-0.11,0.08,0.95,843.87,0.4,-51.6,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.75,-0.05,0.08,1.08,0.0,-2.9,-52.2
0.5,1.0,0.5,4.25,2.25,3.0,2.5,3.75,4.0,1.5,7.25,5.75,6.25,8.25,-0.11,0.08,0.95,845.46,1.5,-39.6,0.75,0.5,0.75,1.0,0.0,1.25,0.5,0.0,0.0,1.25,0.5,0.5,0.75,0.08,0.2,0.95,0.0,-5.1,0.4
0.52,1.75,0.5,5.0,2.5,3.0,2.75,4.5,4.0,1.5,5.5,4.25,4.25,7.0,-0.11,0.08,0.95,790.87,3.4,-26.5,0.0,0.0,1.25,0.25,0.0,1.75,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.2,0.39,0.64,0.0,-5.4,-10.6
0.54,2.0,0.5,5.75,2.75,3.0,2.75,5.25,2.5,1.5,4.5,3.0,2.75,5.5,-0.11,0.08,0.95,701.04,6.1,-13.4,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.27,0.33,1.08,15.47,-11.0,-30.7
0.56,2.0,0.75,7.0,4.5,3.0,2.75,6.0,2.25,1.25,3.25,1.75,1.75,4.5,-0.11,0.08,0.95,617.72,9.1,3.0,0.75,0.25,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.75,0.0,0.75,0.0,0.2,0.27,1.77,41.88,-4.2,5.9
0.58,3.75,0.5,8.0,5.0,3.5,3.0,6.75,2.0,0.75,2.25,0.75,1.0,1.5,-0.11,0.08,0.95,557.42,13.8,27.6,0.75,0.75,0.0,1.0,1.75,0.75,0.25,0.0,0.0,0.75,0.75,0.5,0.75,0.02,0.45,2.14,80.65,-2.8,11.1
0.6,3.75,0.75,8.75,7.0,4.25,3.5,7.25,1.5,0.5,2.25,0.5,1.0,2.25,-0.11,0.08,0.95,544.62,13.6,30.1,0.75,0.75,0.25,0.25,1.75,0.5,0.25,0.0,0.0,1.0,0.5,0.75,0.75,-0.11,0.83,2.14,107.06,-2.7,3.2
0.62,4.75,1.0,9.5,8.0,3.0,4.0,7.75,1.0,0.0,2.5,0.0,0.75,1.75,-0.11,0.08,0.95,557.16,15.6,37.5,0.75,0.5,1.25,0.5,2.5,0.5,0.25,0.0,0.0,0.75,0.5,0.75,0.75,-0.17,1.02,2.2,133.05,-6.7,15.4
0.64,5.75,0.75,10.0,8.0,6.25,4.0,7.75,0.25,0.0,1.5,0.25,1.0,1.5,-0.11,0.08,0.95,602.77,16.0,43.4,1.25,0.0,1.0,0.0,2.25,1.25,0.25,0.0,0.0,0.5,0.75,0.75,0.75,-0.17,1.2,2.58,147.08,-5.0,11.3
0.66,6.0,1.75,10.5,8.5,8.0,4.0,8.0,0.25,0.0,2.25,0.25,1.0,1.25,-0.11,0.08,0.95,668.67,15.2,44.5,0.75,0.0,1.25,0.5,2.25,1.0,0.25,0.0,0.0,1.0,0.25,0.75,0.75,0.02,1.39,3.02,153.99,-4.4,10.2
0.68,6.25,2.0,10.5,10.5,8.25,5.0,8.25,0.25,0.0,1.5,0.25,1.0,1.5,-0.11,0.14,0.95,758.58,14.9,46.3,1.0,0.25,1.25,0.5,2.5,1.25,0.25,0.0,0.0,0.75,0.5,0.75,0.75,0.27,2.14,1.52,157.81,-5.1,16.5
0.7,6.25,2.0,10.5,12.0,8.25,5.75,8.25,0.25,0.0,2.0,0.0,1.0,1.25,-0.11,0.14,0.89,850.48,14.3,46.6,0.0,0.0,1.25,0.0,2.25,0.5,0.25,0.0,0.0,0.75,0.75,0.75,0.5,-0.3,3.2,0.7,146.97,-4.0,-1.7
0.72,6.5,2.0,10.5,12.0,9.75,6.0,8.0,0.25,0.0,1.5,0.0,0.75,1.25,-0.17,0.14,1.02,931.49,14.0,48.8,0.0,0.0,1.25,1.0,2.25,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,-1.17,4.08,0.89,131.93,-12.1,39.2
0.74,6.25,2.0,10.5,11.0,10.5,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.17,0.14,1.02,956.71,15.7,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.86,4.45,0.33,83.16,-32.4,27.3
0.76,7.0,2.0,10.0,13.0,9.75,5.25,7.75,0.0,0.0,0.0,0.0,0.0,0.5,-0.17,0.2,1.02,974.57,15.9,58.1,0.75,0.0,1.25,0.5,1.75,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.75,-0.42,2.45,1.08,78.0,-12.5,24.2
0.78,7.75,2.25,11.0,13.0,9.75,3.5,7.75,0.0,0.0,0.75,0.0,0.0,0.5,-0.17,0.2,1.08,979.84,17.3,57.7,0.75,0.5,1.25,0.5,2.25,1.25,0.25,0.0,0.0,0.75,0.75,2.25,1.25,-0.36,-0.11,6.7,102.48,-4.6,-7.3
0.8,9.5,4.5,10.0,14.0,12.0,4.5,7.5,0.0,0.0,1.25,0.0,0.25,0.5,-0.17,0.27,1.08,1049.79,15.4,58.0,0.75,0.25,0.75,0.25,1.25,0.0,0.25,0.0,0.0,0.25,1.0,3.75,5.0,-0.11,-1.42,-0.3,146.45,-2.2,-60.8
0.82,10.5,5.0,10.5,14.5,12.0,4.0,7.75,0.0,0.0,0.0,0.0,0.0,1.0,-0.17,0.33,1.08,1122.23,16.6,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,5.75,6.0,-0.36,1.33,1.52,183.9,3.6,-107.8
0.84,9.75,5.0,9.75,10.5,9.25,2.75,7.25,0.0,0.0,0.0,0.0,0.0,0.25,-0.23,0.39,1.14,1091.82,18.5,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.75,6.75,8.0,-1.23,0.39,2.83,242.24,5.3,-101.9
0.86,10.5,5.25,9.0,8.5,8.25,2.5,7.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.3,0.52,1.2,1008.23,19.1,66.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,6.25,3.0,7.0,8.75,0.83,0.77,2.83,304.63,3.6,-92.0
0.88,12.5,6.5,8.0,7.75,8.25,2.75,6.75,0.0,0.0,1.0,0.0,0.5,0.5,-0.3,0.7,1.39,935.53,18.0,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7.25,4.0,7.0,8.75,0.27,0.39,1.95,378.1,5.1,-94.7
0.9,11.5,5.5,8.0,6.75,8.25,2.5,6.75,0.0,0.0,1.0,0.0,0.25,0.5,-0.48,1.02,1.77,861.51,18.1,62.6,0.5,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,7.5,5.0,6.75,8.5,0.08,0.14,1.02,449.52,4.0,-88.7
0.92,10.0,5.0,6.5,5.0,6.5,1.25,6.25,0.0,0.0,0.75,0.0,0.25,0.5,-0.67,1.02,1.89,753.72,19.3,63.5,0.5,0.0,0.0,0.0,0.0,1.25,0.25,2.0,0.25,7.75,5.25,6.75,8.5,0.08,0.14,0.95,513.25,5.0,-82.5
0.94,9.5,3.75,5.5,2.75,6.25,0.25,4.75,0.0,0.0,0.5,0.0,0.0,0.5,-0.86,0.83,2.27,620.73,20.4,66.3,0.5,0.0,0.0,0.0,0.0,2.0,0.5,2.25,0.5,7.75,5.75,6.75,8.5,0.08,0.14,0.95,563.44,5.0,-78.9
0.96,7.25,2.0,4.5,2.5,3.5,0.25,3.0,0.0,0.0,0.0,0.0,0.25,0.5,-0.55,1.08,3.08,452.73,22.5,65.6,1.25,0.0,1.25,0.0,1.25,0.25,0.75,2.25,0.5,7.25,7.0,7.75,9.5,0.08,0.14,0.95,618.73,1.1,-72.2
0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.98,-0.61,2.83,241.22,8.8,-109.9,0.0,0.0,1.0,0.0,0.0,0.0,1.25,2.25,0.25,7.0,6.25,6.75,8.5,0.08,0.14,0.95,622.2,2.4,-82.7
1.0,2.0,0.75,3.0,0.5,3.0,0.0,1.25,0.0,0.0,0.75,0.0,0.0,0.5,-0.61,-0.11,2.58,124.13,16.5,48.9,0.0,0.0,0.5,0.0,0.0,0.0,1.25,0.75,0.5,6.5,5.0,6.25,8.25,0.08,0.14,0.89,577.3,2.7,-87.0
1.02,1.75,0.5,2.75,0.0,3.0,0.0,1.25,0.0,0.0,0.5,0.0,0.0,0.5,-0.86,-2.92,1.2,29.13,16.4,48.8,0.5,0.0,1.25,0.0,0.0,1.25,1.5,0.75,1.0,5.25,4.0,5.75,8.0,0.08,0.14,0.95,516.94,1.4,-73.9
